EP2 - Ciclistas!

Ranking - Rodada 1:
  64o - 0010 
  65o - 0000 
  66o - 0097 
  67o - 0090 
  68o - 0092 
  69o - 0088 
  70o - 0086 
  71o - 0075 
  72o - 0082 
  73o - 0084 
  74o - 0065 
  75o - 0073 
  76o - 0040 
  77o - 0052 
  78o - 0050 
  79o - 0046 
  80o - 0035 
  81o - 0024 
  82o - 0020 
  83o - 0033 
  84o - 0023 
  85o - 0032 
  86o - 0014 
  87o - 0004 
  88o - 0078 
  89o - 0081 
  90o - 0067 
  91o - 0062 
  92o - 0058 
  93o - 0055 
  94o - 0042 
  95o - 0044 
  96o - 0021 

Ops! O ciclista   57 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 9:
   1o - 0098 
   2o - 0034 
   3o - 0028 
   4o - 0006 
   5o - 0089 
   6o - 0080 
   7o - 0083 
   8o - 0077 
   9o - 0079 
  10o - 0060 
  11o - 0053 
  12o - 0063 
  13o - 0054 
  14o - 0043 
  15o - 0047 
  16o - 0038 
  17o - 0037 
  18o - 0030 
  19o - 0031 
  20o - 0027 
  21o - 0009 
  22o - 0005 
  23o - 0002 
  24o - 0003 
  25o - 0095 
  26o - 0099 
  27o - 0096 
  28o - 0093 
  29o - 0094 
  30o - 0085 
  31o - 0087 
  32o - 0076 
  33o - 0070 
  34o - 0068 
  35o - 0074 
  36o - 0059 
  37o - 0056 
  38o - 0064 
  39o - 0057 
  40o - 0051 
  41o - 0039 
  42o - 0061 
  43o - 0036 
  44o - 0029 
  45o - 0022 
  46o - 0017 
  47o - 0008 
  48o - 0019 
  49o - 0018 
  50o - 0007 
  51o - 0012 
  52o - 0015 
  53o - 0010 
  54o - 0000 
  55o - 0097 
  56o - 0090 
  57o - 0091 
  58o - 0092 
  59o - 0088 
  60o - 0084 
  61o - 0082 
  62o - 0086 
  63o - 0075 
  64o - 0071 
  65o - 0073 
  66o - 0065 
  67o - 0066 
  68o - 0069 
  69o - 0040 
  70o - 0041 
  71o - 0048 
  72o - 0050 
  73o - 0045 
  74o - 0046 
  75o - 0049 
  76o - 0026 
  77o - 0020 
  78o - 0023 
  79o - 0033 
  80o - 0013 
  81o - 0011 
  82o - 0004 
  83o - 0081 
  84o - 0078 
  85o - 0067 
  86o - 0062 
  87o - 0058 
  88o - 0052 
  89o - 0042 
  90o - 0044 
  91o - 0035 
  92o - 0024 
  93o - 0032 
  94o - 0014 
  95o - 0055 


Ranking - Rodada 10:
   1o - 0098 
   2o - 0034 
   3o - 0006 
   4o - 0080 
   5o - 0083 
   6o - 0077 
   7o - 0060 
   8o - 0054 
   9o - 0043 
  10o - 0038 
  11o - 0047 
  12o - 0037 
  13o - 0031 
  14o - 0030 
  15o - 0028 
  16o - 0027 
  17o - 0009 
  18o - 0005 
  19o - 0002 
  20o - 0003 
  21o - 0095 
  22o - 0093 
  23o - 0089 
  24o - 0085 
  25o - 0079 
  26o - 0074 
  27o - 0059 
  28o - 0056 
  29o - 0064 
  30o - 0063 
  31o - 0053 
  32o - 0057 
  33o - 0051 
  34o - 0061 
  35o - 0029 
  36o - 0022 
  37o - 0019 
  38o - 0012 
  39o - 0000 
  40o - 0099 
  41o - 0097 
  42o - 0096 
  43o - 0090 
  44o - 0091 
  45o - 0094 
  46o - 0087 
  47o - 0082 
  48o - 0084 
  49o - 0075 
  50o - 0076 
  51o - 0070 
  52o - 0065 
  53o - 0071 
  54o - 0068 
  55o - 0066 
  56o - 0069 
  57o - 0040 
  58o - 0048 
  59o - 0039 
  60o - 0045 
  61o - 0036 
  62o - 0049 
  63o - 0026 
  64o - 0020 
  65o - 0017 
  66o - 0008 
  67o - 0033 
  68o - 0011 
  69o - 0018 
  70o - 0007 
  71o - 0010 
  72o - 0015 
  73o - 0004 
  74o - 0092 
  75o - 0088 
  76o - 0081 
  77o - 0086 
  78o - 0073 
  79o - 0067 
  80o - 0041 
  81o - 0052 
  82o - 0050 
  83o - 0042 
  84o - 0035 
  85o - 0044 
  86o - 0046 
  87o - 0024 
  88o - 0023 
  89o - 0013 
  90o - 0032 
  91o - 0014 
  92o - 0078 
  93o - 0062 
  94o - 0058 
  95o - 0055 

Ops! O ciclista   24 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 11:
   1o - 0098 
   2o - 0034 
   3o - 0006 
   4o - 0083 
   5o - 0077 
   6o - 0060 
   7o - 0038 
   8o - 0037 
   9o - 0047 
  10o - 0030 
  11o - 0028 
  12o - 0009 
  13o - 0095 
  14o - 0093 
  15o - 0085 
  16o - 0080 
  17o - 0089 
  18o - 0079 
  19o - 0056 
  20o - 0059 
  21o - 0064 
  22o - 0057 
  23o - 0054 
  24o - 0043 
  25o - 0031 
  26o - 0022 
  27o - 0027 
  28o - 0005 
  29o - 0002 
  30o - 0012 
  31o - 0003 
  32o - 0099 
  33o - 0097 
  34o - 0096 
  35o - 0087 
  36o - 0075 
  37o - 0082 
  38o - 0084 
  39o - 0076 
  40o - 0070 
  41o - 0071 
  42o - 0074 
  43o - 0068 
  44o - 0053 
  45o - 0063 
  46o - 0051 
  47o - 0061 
  48o - 0036 
  49o - 0049 
  50o - 0029 
  51o - 0026 
  52o - 0033 
  53o - 0011 
  54o - 0019 
  55o - 0010 
  56o - 0015 
  57o - 0000 
  58o - 0004 
  59o - 0090 
  60o - 0091 
  61o - 0092 
  62o - 0094 
  63o - 0088 
  64o - 0086 
  65o - 0067 
  66o - 0073 
  67o - 0065 
  68o - 0066 
  69o - 0069 
  70o - 0040 
  71o - 0048 
  72o - 0039 
  73o - 0050 
  74o - 0042 
  75o - 0045 
  76o - 0044 
  77o - 0035 
  78o - 0024 
  79o - 0046 
  80o - 0020 
  81o - 0017 
  82o - 0013 
  83o - 0008 
  84o - 0023 
  85o - 0018 
  86o - 0007 
  87o - 0014 
  88o - 0078 
  89o - 0081 
  90o - 0062 
  91o - 0041 
  92o - 0058 
  93o - 0052 
  94o - 0032 


Ranking - Rodada 12:
   1o - 0034 
   2o - 0098 
   3o - 0077 
   4o - 0038 
   5o - 0047 
   6o - 0037 
   7o - 0028 
   8o - 0006 
   9o - 0095 
  10o - 0093 
  11o - 0085 
  12o - 0089 
  13o - 0080 
  14o - 0083 
  15o - 0079 
  16o - 0059 
  17o - 0064 
  18o - 0054 
  19o - 0043 
  20o - 0030 
  21o - 0031 
  22o - 0022 
  23o - 0027 
  24o - 0009 
  25o - 0005 
  26o - 0002 
  27o - 0012 
  28o - 0003 
  29o - 0097 
  30o - 0096 
  31o - 0087 
  32o - 0082 
  33o - 0074 
  34o - 0068 
  35o - 0056 
  36o - 0063 
  37o - 0053 
  38o - 0051 
  39o - 0036 
  40o - 0049 
  41o - 0029 
  42o - 0019 
  43o - 0033 
  44o - 0011 
  45o - 0010 
  46o - 0015 
  47o - 0004 
  48o - 0099 
  49o - 0090 
  50o - 0094 
  51o - 0092 
  52o - 0084 
  53o - 0075 
  54o - 0076 
  55o - 0070 
  56o - 0067 
  57o - 0073 
  58o - 0071 
  59o - 0065 
  60o - 0048 
  61o - 0039 
  62o - 0050 
  63o - 0061 
  64o - 0045 
  65o - 0044 
  66o - 0035 
  67o - 0026 
  68o - 0017 
  69o - 0008 
  70o - 0023 
  71o - 0007 
  72o - 0014 
  73o - 0000 
  74o - 0091 
  75o - 0081 
  76o - 0086 
  77o - 0088 
  78o - 0078 
  79o - 0066 
  80o - 0069 
  81o - 0040 
  82o - 0041 
  83o - 0052 
  84o - 0042 
  85o - 0046 
  86o - 0020 
  87o - 0013 
  88o - 0032 
  89o - 0018 
  90o - 0062 
  91o - 0058 

Ops! O ciclista   77 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 13:
   1o - 0034 
   2o - 0098 
   3o - 0077 
   4o - 0038 
   5o - 0047 
   6o - 0037 
   7o - 0006 
   8o - 0095 
   9o - 0093 
  10o - 0085 
  11o - 0080 
  12o - 0089 
  13o - 0083 
  14o - 0079 
  15o - 0064 
  16o - 0030 
  17o - 0028 
  18o - 0022 
  19o - 0027 
  20o - 0009 
  21o - 0005 
  22o - 0002 
  23o - 0003 
  24o - 0097 
  25o - 0096 
  26o - 0074 
  27o - 0068 
  28o - 0059 
  29o - 0056 
  30o - 0053 
  31o - 0063 
  32o - 0054 
  33o - 0043 
  34o - 0036 
  35o - 0031 
  36o - 0019 
  37o - 0011 
  38o - 0012 
  39o - 0015 
  40o - 0004 
  41o - 0099 
  42o - 0090 
  43o - 0092 
  44o - 0094 
  45o - 0087 
  46o - 0084 
  47o - 0082 
  48o - 0075 
  49o - 0076 
  50o - 0070 
  51o - 0073 
  52o - 0067 
  53o - 0071 
  54o - 0065 
  55o - 0051 
  56o - 0048 
  57o - 0050 
  58o - 0061 
  59o - 0039 
  60o - 0045 
  61o - 0044 
  62o - 0035 
  63o - 0049 
  64o - 0029 
  65o - 0008 
  66o - 0033 
  67o - 0023 
  68o - 0007 
  69o - 0014 
  70o - 0010 
  71o - 0000 
  72o - 0091 
  73o - 0086 
  74o - 0078 
  75o - 0081 
  76o - 0088 
  77o - 0066 
  78o - 0069 
  79o - 0040 
  80o - 0041 
  81o - 0052 
  82o - 0042 
  83o - 0026 
  84o - 0046 
  85o - 0017 
  86o - 0020 
  87o - 0013 
  88o - 0018 
  89o - 0062 
  90o - 0032 

Ops! O ciclista   98 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   30 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   22 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 14:
   1o - 0034 
   2o - 0077 
   3o - 0038 
   4o - 0047 
   5o - 0037 
   6o - 0006 
   7o - 0098 
   8o - 0085 
   9o - 0089 
  10o - 0030 
  11o - 0022 
  12o - 0027 
  13o - 0003 
  14o - 0097 
  15o - 0095 
  16o - 0093 
  17o - 0080 
  18o - 0083 
  19o - 0079 
  20o - 0074 
  21o - 0068 
  22o - 0056 
  23o - 0059 
  24o - 0064 
  25o - 0063 
  26o - 0054 
  27o - 0043 
  28o - 0036 
  29o - 0031 
  30o - 0028 
  31o - 0009 
  32o - 0019 
  33o - 0005 
  34o - 0002 
  35o - 0015 
  36o - 0099 
  37o - 0096 
  38o - 0090 
  39o - 0094 
  40o - 0087 
  41o - 0082 
  42o - 0076 
  43o - 0070 
  44o - 0067 
  45o - 0065 
  46o - 0071 
  47o - 0053 
  48o - 0048 
  49o - 0050 
  50o - 0045 
  51o - 0039 
  52o - 0044 
  53o - 0029 
  54o - 0011 
  55o - 0033 
  56o - 0007 
  57o - 0023 
  58o - 0012 
  59o - 0010 
  60o - 0000 
  61o - 0004 
  62o - 0091 
  63o - 0092 
  64o - 0084 
  65o - 0086 
  66o - 0075 
  67o - 0078 
  68o - 0073 
  69o - 0069 
  70o - 0040 
  71o - 0051 
  72o - 0052 
  73o - 0061 
  74o - 0042 
  75o - 0049 
  76o - 0046 
  77o - 0026 
  78o - 0035 
  79o - 0020 
  80o - 0017 
  81o - 0013 
  82o - 0008 
  83o - 0014 
  84o - 0081 
  85o - 0088 
  86o - 0066 
  87o - 0062 
  88o - 0041 
  89o - 0032 
  90o - 0018 

Ops! O ciclista   43 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   36 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2
Ops! O ciclista    5 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 15:
   1o - 0034 
   2o - 0006 
   3o - 0085 
   4o - 0077 
   5o - 0038 
   6o - 0047 
   7o - 0037 
   8o - 0022 
   9o - 0027 
  10o - 0003 
  11o - 0098 
  12o - 0095 
  13o - 0093 
  14o - 0083 
  15o - 0089 
  16o - 0079 
  17o - 0074 
  18o - 0064 
  19o - 0054 
  20o - 0043 
  21o - 0036 
  22o - 0030 
  23o - 0031 
  24o - 0009 
  25o - 0019 
  26o - 0005 
  27o - 0015 
  28o - 0097 
  29o - 0099 
  30o - 0096 
  31o - 0090 
  32o - 0080 
  33o - 0076 
  34o - 0067 
  35o - 0065 
  36o - 0068 
  37o - 0059 
  38o - 0056 
  39o - 0053 
  40o - 0063 
  41o - 0048 
  42o - 0045 
