EP2 - Ciclistas!

Ranking - Rodada 1:
  70o - 0008 
  71o - 0087 
  72o - 0086 
  73o - 0076 
  74o - 0066 
  75o - 0068 
  76o - 0026 
  77o - 0036 
  78o - 0029 
  79o - 0042 
  80o - 0019 
  81o - 0004 
  82o - 0005 


Ranking - Rodada 13:
   1o - 0090 
   2o - 0051 
   3o - 0061 
   4o - 0032 
   5o - 0096 
   6o - 0094 
   7o - 0077 
   8o - 0046 
   9o - 0048 
  10o - 0024 
  11o - 0011 
  12o - 0000 
  13o - 0015 
  14o - 0095 
  15o - 0098 
  16o - 0092 
  17o - 0081 
  18o - 0078 
  19o - 0074 
  20o - 0072 
  21o - 0028 
  22o - 0053 
  23o - 0052 
  24o - 0043 
  25o - 0049 
  26o - 0038 
  27o - 0033 
  28o - 0002 
  29o - 0010 
  30o - 0014 
  31o - 0006 
  32o - 0082 
  33o - 0083 
  34o - 0091 
  35o - 0099 
  36o - 0070 
  37o - 0097 
  38o - 0080 
  39o - 0075 
  40o - 0085 
  41o - 0079 
  42o - 0069 
  43o - 0057 
  44o - 0059 
  45o - 0058 
  46o - 0044 
  47o - 0041 
  48o - 0054 
  49o - 0050 
  50o - 0030 
  51o - 0047 
  52o - 0031 
  53o - 0017 
  54o - 0013 
  55o - 0020 
  56o - 0023 
  57o - 0022 
  58o - 0087 
  59o - 0086 
  60o - 0093 
  61o - 0073 
  62o - 0076 
  63o - 0071 
  64o - 0065 
  65o - 0066 
  66o - 0060 
  67o - 0045 
  68o - 0037 
  69o - 0035 
  70o - 0029 
  71o - 0039 
  72o - 0021 
  73o - 0016 
  74o - 0042 
  75o - 0007 
  76o - 0019 
  77o - 0008 
  78o - 0068 
  79o - 0026 
  80o - 0036 
  81o - 0004 


Ranking - Rodada 14:
   1o - 0090 
   2o - 0051 
   3o - 0061 
   4o - 0032 
   5o - 0094 
   6o - 0077 
   7o - 0048 
   8o - 0011 
   9o - 0015 
  10o - 0096 
  11o - 0098 
  12o - 0092 
  13o - 0081 
  14o - 0078 
  15o - 0072 
  16o - 0028 
  17o - 0052 
  18o - 0043 
  19o - 0046 
  20o - 0024 
  21o - 0000 
  22o - 0010 
  23o - 0002 
  24o - 0014 
  25o - 0006 
  26o - 0095 
  27o - 0083 
  28o - 0082 
  29o - 0099 
  30o - 0070 
  31o - 0097 
  32o - 0075 
  33o - 0085 
  34o - 0080 
  35o - 0074 
  36o - 0079 
  37o - 0069 
  38o - 0057 
  39o - 0059 
  40o - 0058 
  41o - 0053 
  42o - 0049 
  43o - 0054 
  44o - 0030 
  45o - 0031 
  46o - 0038 
  47o - 0033 
  48o - 0013 
  49o - 0020 
  50o - 0023 
  51o - 0086 
  52o - 0091 
  53o - 0076 
  54o - 0071 
  55o - 0065 
  56o - 0066 
  57o - 0041 
  58o - 0044 
  59o - 0045 
  60o - 0037 
  61o - 0050 
  62o - 0035 
  63o - 0047 
  64o - 0029 
  65o - 0039 
  66o - 0016 
  67o - 0021 
  68o - 0017 
  69o - 0007 
  70o - 0019 
  71o - 0008 
  72o - 0022 
  73o - 0087 
  74o - 0093 
  75o - 0073 
  76o - 0060 
  77o - 0068 
  78o - 0026 
  79o - 0036 
  80o - 0042 
  81o - 0004 


Ranking - Rodada 15:
   1o - 0090 
   2o - 0051 
   3o - 0061 
   4o - 0032 
   5o - 0094 
   6o - 0048 
   7o - 0011 
   8o - 0015 
   9o - 0096 
  10o - 0081 
  11o - 0077 
  12o - 0072 
  13o - 0028 
  14o - 0043 
  15o - 0052 
  16o - 0046 
  17o - 0024 
  18o - 0002 
  19o - 0010 
  20o - 0006 
  21o - 0082 
  22o - 0095 
  23o - 0083 
  24o - 0098 
  25o - 0092 
  26o - 0099 
  27o - 0097 
  28o - 0085 
  29o - 0075 
  30o - 0078 
  31o - 0074 
  32o - 0079 
  33o - 0057 
  34o - 0058 
  35o - 0059 
  36o - 0053 
  37o - 0049 
  38o - 0030 
  39o - 0031 
  40o - 0038 
  41o - 0013 
  42o - 0023 
  43o - 0000 
  44o - 0014 
  45o - 0086 
  46o - 0091 
  47o - 0070 
  48o - 0076 
  49o - 0080 
  50o - 0071 
  51o - 0065 
  52o - 0069 
  53o - 0066 
  54o - 0041 
  55o - 0054 
  56o - 0037 
  57o - 0050 
  58o - 0029 
  59o - 0047 
  60o - 0016 
  61o - 0033 
  62o - 0017 
  63o - 0020 
  64o - 0019 
  65o - 0087 
  66o - 0073 
  67o - 0060 
  68o - 0068 
  69o - 0026 
  70o - 0044 
  71o - 0036 
  72o - 0045 
  73o - 0035 
  74o - 0039 
  75o - 0042 
  76o - 0021 
  77o - 0007 
  78o - 0008 
  79o - 0022 
  80o - 0093 


Ranking - Rodada 16:
   1o - 0090 
   2o - 0061 
   3o - 0032 
   4o - 0094 
   5o - 0051 
   6o - 0096 
   7o - 0072 
   8o - 0028 
   9o - 0046 
  10o - 0043 
  11o - 0048 
  12o - 0024 
  13o - 0011 
  14o - 0002 
  15o - 0015 
  16o - 0095 
  17o - 0098 
  18o - 0092 
  19o - 0081 
  20o - 0085 
  21o - 0097 
  22o - 0078 
  23o - 0077 
  24o - 0059 
  25o - 0053 
  26o - 0052 
  27o - 0030 
  28o - 0038 
  29o - 0023 
  30o - 0000 
  31o - 0010 
  32o - 0014 
  33o - 0006 
  34o - 0083 
  35o - 0082 
  36o - 0099 
  37o - 0070 
  38o - 0075 
  39o - 0076 
  40o - 0065 
  41o - 0079 
  42o - 0074 
  43o - 0069 
  44o - 0066 
  45o - 0057 
  46o - 0058 
  47o - 0049 
  48o - 0050 
  49o - 0029 
  50o - 0031 
  51o - 0016 
  52o - 0033 
  53o - 0013 
  54o - 0020 
  55o - 0019 
  56o - 0086 
  57o - 0091 
  58o - 0080 
  59o - 0071 
  60o - 0060 
  61o - 0041 
  62o - 0036 
  63o - 0044 
  64o - 0045 
  65o - 0054 
  66o - 0037 
  67o - 0035 
  68o - 0047 
  69o - 0039 
  70o - 0042 
  71o - 0021 
  72o - 0017 
  73o - 0008 
  74o - 0022 
  75o - 0087 
  76o - 0093 
  77o - 0073 
  78o - 0068 
  79o - 0026 
  80o - 0007 

Ops! O ciclista   26 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 17:
   1o - 0061 
   2o - 0090 
   3o - 0051 
   4o - 0032 
   5o - 0094 
   6o - 0072 
   7o - 0028 
   8o - 0043 
   9o - 0046 
  10o - 0048 
  11o - 0011 
  12o - 0015 
  13o - 0096 
  14o - 0098 
  15o - 0085 
  16o - 0078 
  17o - 0097 
