EP2 - Ciclistas!

Ranking - Rodada 1:
  44o - 0075 
  45o - 0070 
  46o - 0038 
  47o - 0046 
  48o - 0047 
  49o - 0025 
  50o - 0053 
  51o - 0023 
  52o - 0026 
  53o - 0079 
  54o - 0041 
  55o - 0042 
  56o - 0063 
  57o - 0010 
  58o - 0024 
  59o - 0029 
  60o - 0074 
  61o - 0086 
  62o - 0036 
  63o - 0019 
  64o - 0081 
  65o - 0068 
  66o - 0071 
  67o - 0092 
  68o - 0014 
  69o - 0055 
  70o - 0097 
  71o - 0099 
  72o - 0016 
  73o - 0093 
  74o - 0088 
  75o - 0098 
  76o - 0091 
  77o - 0017 
  78o - 0003 
  79o - 0002 
  80o - 0034 
  81o - 0082 
  82o - 0031 
  83o - 0048 
  84o - 0005 
  85o - 0062 
  86o - 0058 
  87o - 0018 
  88o - 0087 
  89o - 0007 


Ranking - Rodada 7:
   1o - 0095 
   2o - 0006 
   3o - 0043 
   4o - 0050 
   5o - 0040 
   6o - 0039 
   7o - 0033 
   8o - 0028 
   9o - 0064 
  10o - 0013 
  11o - 0067 
  12o - 0085 
  13o - 0077 
  14o - 0052 
  15o - 0037 
  16o - 0020 
  17o - 0056 
  18o - 0083 
  19o - 0094 
  20o - 0096 
  21o - 0044 
  22o - 0089 
  23o - 0004 
  24o - 0011 
  25o - 0090 
  26o - 0001 
  27o - 0032 
  28o - 0084 
  29o - 0035 
  30o - 0076 
  31o - 0080 
  32o - 0059 
  33o - 0075 
  34o - 0054 
  35o - 0066 
  36o - 0038 
  37o - 0046 
  38o - 0025 
  39o - 0047 
  40o - 0053 
  41o - 0078 
  42o - 0041 
  43o - 0042 
  44o - 0072 
  45o - 0024 
  46o - 0008 
  47o - 0029 
  48o - 0086 
  49o - 0061 
  50o - 0073 
  51o - 0036 
  52o - 0051 
  53o - 0068 
  54o - 0092 
  55o - 0071 
  56o - 0014 
  57o - 0097 
  58o - 0088 
  59o - 0016 
  60o - 0098 
  61o - 0091 
  62o - 0017 
  63o - 0000 
  64o - 0002 
  65o - 0031 
  66o - 0034 
  67o - 0082 
  68o - 0057 
  69o - 0065 
  70o - 0070 
  71o - 0026 
  72o - 0023 
  73o - 0079 
  74o - 0063 
  75o - 0010 
  76o - 0005 
  77o - 0074 
  78o - 0062 
  79o - 0019 
  80o - 0058 
  81o - 0081 
  82o - 0055 
  83o - 0099 
  84o - 0018 
  85o - 0093 
  86o - 0003 
  87o - 0048 
  88o - 0087 

LISTA DELETADA 2

Ranking - Rodada 8:
   1o - 0095 
   2o - 0050 
   3o - 0043 
   4o - 0040 
   5o - 0039 
   6o - 0028 
   7o - 0064 
   8o - 0067 
   9o - 0077 
  10o - 0052 
  11o - 0056 
  12o - 0094 
  13o - 0044 
  14o - 0096 
  15o - 0004 
  16o - 0011 
  17o - 0006 
  18o - 0084 
  19o - 0032 
  20o - 0076 
  21o - 0035 
  22o - 0075 
  23o - 0054 
  24o - 0059 
  25o - 0038 
  26o - 0046 
  27o - 0025 
  28o - 0047 
  29o - 0053 
  30o - 0078 
  31o - 0042 
  32o - 0072 
  33o - 0033 
  34o - 0008 
  35o - 0029 
  36o - 0061 
  37o - 0013 
  38o - 0086 
  39o - 0085 
  40o - 0036 
  41o - 0037 
  42o - 0020 
  43o - 0051 
  44o - 0083 
  45o - 0068 
  46o - 0089 
  47o - 0088 
  48o - 0016 
  49o - 0098 
  50o - 0017 
  51o - 0090 
  52o - 0000 
  53o - 0001 
  54o - 0002 
  55o - 0034 
  56o - 0082 
  57o - 0031 
  58o - 0080 
  59o - 0065 
  60o - 0057 
  61o - 0066 
  62o - 0070 
  63o - 0023 
  64o - 0026 
  65o - 0079 
  66o - 0041 
  67o - 0063 
  68o - 0010 
  69o - 0024 
  70o - 0074 
  71o - 0073 
  72o - 0019 
  73o - 0092 
  74o - 0081 
  75o - 0014 
  76o - 0055 
  77o - 0097 
  78o - 0071 
  79o - 0093 
  80o - 0091 
  81o - 0003 
  82o - 0048 
  83o - 0005 
  84o - 0062 
  85o - 0058 
  86o - 0099 
  87o - 0018 
  88o - 0087 


Ranking - Rodada 9:
   1o - 0040 
   2o - 0039 
   3o - 0028 
   4o - 0067 
   5o - 0094 
   6o - 0095 
   7o - 0004 
   8o - 0011 
   9o - 0006 
  10o - 0032 
  11o - 0075 
  12o - 0059 
  13o - 0046 
